GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
maeven,test.ual.hmis.sesion06,Ejercicio6Test,0,38,0,0,0,9,0,2,0,2
maeven,test.ual.hmis.sesion06,Ejercicio4Test,0,26,0,0,0,6,0,2,0,2
maeven,test.ual.hmis.sesion06,Ejercicio2Test,0,104,0,0,0,15,0,2,0,2
maeven,test.ual.hmis.sesion06,Ejercicio7Test,0,78,0,0,0,17,0,2,0,2
maeven,test.ual.hmis.sesion06,TestEjercicio1Test,0,23,0,0,0,6,0,2,0,2
maeven,test.ual.hmis.sesion06,Ejercicio3Test,0,28,0,0,0,7,0,2,0,2
maeven,test.ual.hmis.sesion06,Ejercicio5Test,0,143,0,0,0,38,0,2,0,2
maeven,test.ual.hmis.sesion06,Ejercicio8Test,0,155,0,0,0,39,0,2,0,2
maeven,ual.hmis.sesion06,Ejercicio,0,17,0,0,0,7,0,5,0,5
maeven,ual.hmis.sesion06,Profesor,0,99,0,8,0,14,0,6,0,2
maeven,ual.hmis.sesion06,Ferry,0,75,0,6,0,16,0,11,0,8
maeven,ual.hmis.sesion06,Alumno,0,190,0,24,0,45,0,20,0,8
maeven,ual.hmis.sesion06,Ejercicio1,0,42,0,6,0,10,0,5,0,2
maeven,ual.hmis.sesion06,Ejercicio3,0,40,0,10,0,12,0,7,0,2
maeven,ual.hmis.sesion06,Vehiculo,0,24,0,0,0,10,0,7,0,7
maeven,ual.hmis.sesion06,Ejercicio2,0,56,1,17,0,12,1,11,0,3
maeven,ual.hmis.sesion06,Ejercicio4,0,36,0,6,0,8,0,5,0,2
maeven,ual.hmis.sesion06,Actividad,0,52,0,0,0,19,0,10,0,10
